Доказательная медицина;подход к медицинской практике, при котором решения о применении профилактических, диагностических и лечебных мероприятий принимаются исходя из имеющихся доказательств их эффективности и безопасности, а такие доказательства подвергаются поиску, сравнению, обобщению и широкому распространению для использования в интересах пациентов
Заболевание;возникающее в связи с воздействием патогенных факторов нарушение деятельности организма, работоспособности, способности адаптироваться к изменяющимся условиям внешней и внутренней среды при одновременном изменении защитно-компенсаторных и защитно-приспособительных реакций и механизмов организма.
Основное заболевание;заболевание, которое само по себе или в связи с осложнениями вызывает первоочередную необходимость оказания медицинской помощи в связи с наибольшей угрозой работоспособности, жизни и здоровью, либо приводит к инвалидности, либо становится причиной смерти,
Сопутствующее заболевание;заболевание, которое не имеет причинно-следственной связи с основным заболеванием, уступает ему в степени необходимости оказания медицинской помощи, влияния на работоспособность, опасности для жизни и здоровья и не является причиной смерти,
Тяжесть заболевания или состояния;критерий, определяющий степень поражения органов и (или) систем организма человека либо нарушения их функций, обусловленные заболеванием или состоянием либо их осложнением,
Исходы заболеваний;медицинские и биологические последствия заболевания,
Последствия (результаты);исходы заболеваний, социальные, экономические результаты применения медицинских технологий,
Осложнение заболевания;присоединение к заболеванию синдрома нарушения физиологического процесса,;нарушение целостности органа или его стенки,;кровотечение,;развившаяся острая или хроническая недостаточность функции органа или системы органов,
Инструментальная диагностика;диагностика с использованием для обследования больного различных приборов, аппаратов и инструментов.
Качество медицинской помощи;совокупность характеристик, отражающих своевременность оказания медицинской помощи, правильность выбора методов профилактики, диагностики, лечения и реабилитации при оказании медицинской помощи, степень достижения запланированного результата.
Клинические рекомендации;документ, основанный на доказанном клиническом опыте, описывающий действия врача по диагностике, лечению, реабилитации и профилактике заболеваний, помогающий ему принимать правильные клинические решения.
Лабораторная диагностика &mdash, совокупность методов, направленных на анализ исследуемого материала с помощью различного специализированного оборудования.
Модель пациента;совокупность клинических, лабораторных и инструментальных диагностических признаков, позволяющих идентифицировать заболевание (отравление, травму, физиологическое состояние) и отнести его к группе состояний с общей этиологией и патогенезом, клиническими проявлениями, общими подходами к лечению и коррекции состояния,
Медицинский работник;физическое лицо, которое имеет медицинское или иное образование, работает в медицинской организации и в трудовые (должностные) обязанности которого входит осуществление медицинской деятельности, либо физическое лицо, которое является индивидуальным предпринимателем, непосредственно.
Нозологическая форма;совокупность клинических, лабораторных и инструментальных диагностических признаков, позволяющих идентифицировать заболевание (отравление, травму, физиологическое состояние) и отнести его к группе состояний с общей этиологией и&nbsp,патогенезом, клиническими проявлениями, общими.
Синдром;состояние, развивающееся как следствие заболевания и определяющееся совокупностью клинических, лабораторных, инструментальных диагностических признаков, позволяющих идентифицировать его и отнести к группе состояний с различной этиологией, но общим патогенезом, клиническими
Уровень достоверности доказательств;отражает степень уверенности в том, что найденный эффект от применения медицинского вмешательства является истинным.
Уровень убедительности рекомендаций;отражает не только степень уверенности в достоверности эффекта вмешательства, но и степень уверенности в том, что следование рекомендациям принесет больше пользы, чем вреда в конкретной ситуации.
Формулярные статьи на лекарственные препараты;фрагмент протоколов лечения больных, содержащий сведения о применяемых при определенном заболевании (синдроме) лекарственных препаратах, схемах, и особенностях их назначения.
